조사년도,조사월,주차,환경,종,사업명,권역,월,월.1,수거일,지역1,지역2,방법,설치류 및 채집기번호,설치류종명,개체수,채집기간,실험개체수,Pool No.,양성 Pools,비고,Sex (M/F),Weight (g),Head+body (Cm),Tail (Cm),Total size(Cm),ear (Cm),Foot size (Cm),확정,확정일자,입력일자,입력자(아이디)
2020년,10월,44,논,기타,기후변화매개체감시거점센터,강원1권,2020,10,2020-10-28,강원,철원군,Sherman trap,1,Apodemus agrarius,27,2,0,1,0,27,Male,28.5,10.4,9.0,19.4,1.5,2.0,N,,2020-11-05,탁기쁨(xkrrlqma320)
2020년,10월,44,수로,기타,기후변화매개체감시거점센터,강원1권,2020,10,2020-10-28,강원,철원군,Sherman trap,7,Apodemus agrarius,321,2,0,2,0,33,Male,20.2,9.6,7.8,17.4,1.3,2.0,N,,2020-11-05,탁기쁨(xkrrlqma320)
2020년,10월,44,야산,기타,기후변화매개체감시거점센터,강원1권,2020,10,2020-10-28,강원,철원군,Sherman trap,9,Micromys minutus,85,2,0,1,0,11,Female,4.9,5.1,4.9,10.0,0.5,0.7,N,,2020-11-05,탁기쁨(xkrrlqma320)
2020년,11월,2,논,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-01-11,강원,철원군,Sherman trap,1,Apodemus agrarius,110,2,0,4,0,110,Male,43.8,11.7,8.0,19.7,1.3,2.1,N,,2020-11-17,탁기쁨(xkrrlqma320)
2020년,11월,2,야산,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-01-11,강원,철원군,Sherman trap,8,Crocidura spp.,20,2,0,1,0,20,Female,11.0,5.4,3.7,9.1,0.6,1.2,N,,2020-11-17,탁기쁨(xkrrlqma320)
2020년,11월,45,수로,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-11-01,강원,철원군,Sherman trap,7,Crocidura spp.,3,2,0,1,0,3,Female,9.4,8.1,4.0,12.1,0.9,1.1,N,,2020-11-17,탁기쁨(xkrrlqma320)
2020년,11월,46,수로,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-11-11,강원,철원군,Sherman trap,6,Apodemus agrarius,572,2,0,8,0,239,Male,25.2,9.8,8.7,18.5,1.6,2.1,N,,2020-11-17,탁기쁨(xkrrlqma320)
2020년,11월,46,야산,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-11-11,강원,철원군,Sherman trap,12,Crocidura spp.,124,2,0,1,0,9,Female,7.2,5.3,2.4,7.7,0.9,1.0,N,,2020-11-17,탁기쁨(xkrrlqma320)
2020년,11월,46,저수지,기타,기후변화매개체감시거점센터,강원1권,2020,11,2020-11-11,강원,철원군,Sherman trap,3,Apodemus agrarius,47,2,0,1,0,24,Female,26.1,9.3,8.9,18.2,1.2,2.2,N,,2020-11-17,탁기쁨(xkrrlqma320)
2021년,03월,13,논,기타,기후변화매개체감시거점센터,강원1권,2021,3,2021-03-25,강원,철원군,Sherman trap,1,Microtus fortis,18,2,0,1,0,18,미포획,0.0,0.0,0.0,0.0,0.0,0.0,Y,2021-04-01,2021-03-30,탁기쁨(xkrrlqma320)
2021년,03월,13,밭,기타,기후변화매개체감시거점센터,강원1권,2021,3,2021-03-25,강원,철원군,Sherman trap,2,Microtus fortis,5,2,0,1,0,6,미포획,0.0,0.0,0.0,0.0,0.0,0.0,Y,2021-04-01,2021-03-30,탁기쁨(xkrrlqma320)
2021년,03월,13,수로,기타,기후변화매개체감시거점센터,강원1권,2021,3,2021-03-25,강원,철원군,Sherman trap,5,Apodemus agrarius,16,2,0,1,0,2,미포획,0.0,0.0,0.0,0.0,0.0,0.0,Y,2021-04-01,2021-03-30,탁기쁨(xkrrlqma320)
2021년,03월,13,야산,기타,기후변화매개체감시거점센터,강원1권,2021,3,2021-03-25,강원,철원군,Sherman trap,6,Apodemus agrarius,67,2,0,3,0,67,미포획,0.0,0.0,0.0,0.0,0.0,0.0,Y,2021-04-01,2021-03-30,탁기쁨(xkrrlqma320)
2023년,10월,43,논,기타,기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,밭,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,22,Micromys minutus,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,밭,lice(이),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,21,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,수로,기타,기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,야산,flea(벼룩),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,28,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,야산,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,29,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,야산,mite(털진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,29,Apodemus agrarius,49,1,6,1,0,6,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,야산,tick(참진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,29,Apodemus agrarius,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,저수지,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,24,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,저수지,mite(털진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,27,Apodemus agrarius,69,1,2,1,0,2,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,10월,43,저수지,tick(참진드기),기후변화매개체감시거점센터,강원1권,2023,10,2023-10-25,강원,철원군,Sherman trap,25,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,논,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,33,Apodemus agrarius,6,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,논,lice(이),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,33,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,논,mite(털진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,33,Apodemus agrarius,108,1,18,1,0,17,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,수로,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,43,Apodemus agrarius,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,수로,lice(이),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,35,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,수로,mite(털진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,43,Apodemus agrarius,483,1,30,1,0,30,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,야산,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,45,Apodemus agrarius,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,야산,mite(털진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,46,Apodemus agrarius,28,1,7,1,0,6,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,야산,tick(참진드기),기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,46,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2023년,11월,45,저수지,기타,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-07,강원,철원군,Sherman trap,34,Apodemus agrarius,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2024-01-30,손성용(sdcson)
2025년,04월,17,논,기타,기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,밭,기타,기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,수로,flea(벼룩),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,6,Apodemus agrarius,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,수로,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,7,Apodemus agrarius,4,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,수로,lice(이),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,6,Apodemus agrarius,5,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,수로,mite(털진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,6,Apodemus agrarius,587,1,35,2,1,털진드기 35 개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-05-09,최연희(chldusgmlek)
2025년,04월,17,수로,tick(참진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,6,Apodemus agrarius,4,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,저수지,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,1,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,저수지,mite(털진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,1,Apodemus agrarius,18,1,9,1,0,털진드기 9 개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,04월,17,저수지,tick(참진드기),기후변화매개체감시거점센터,강원1권,2025,4,2025-04-22,강원,철원군,Sherman trap,1,Apodemus agrarius,2,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-04-28,최연희(chldusgmlek)
2025년,10월,43,논,기타,기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2025년,10월,43,밭,mite(털진드기),기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,16,Apodemus agrarius,3,1,1,1,0,털진드기 0개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-17,최연희(chldusgmlek)
2025년,10월,43,수로,mite(털진드기),기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,11,Apodemus agrarius,6,1,3,1,0,털진드기 3 개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2025년,10월,43,야산,기타,기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,0,미포획,0,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2025년,10월,43,저수지,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,14,Apodemus agrarius,5,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2025년,10월,43,저수지,mite(털진드기),기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,14,Apodemus agrarius,175,1,57,2,2,털진드기 56개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2025년,10월,43,저수지,tick(참진드기),기후변화매개체감시거점센터,강원1권,2025,10,2025-10-22,강원,철원군,Sherman trap,14,Apodemus agrarius,4,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2025-11-03,최연희(chldusgmlek)
2026년,04월,17,수로,flea(벼룩),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,1,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,수로,laelapidae(가시진드기),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,1,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,수로,lice(이),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,3,Apodemus agrarius,3,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,수로,mite(털진드기),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,5,Apodemus agrarius,570,1,27,1,0,털진드기 27 개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,수로,tick(참진드기),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,1,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,야산,flea(벼룩),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,6,Apodemus agrarius,1,1,0,0,0,0,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
2026년,04월,17,야산,mite(털진드기),기후변화매개체감시거점센터,강원1권,2026,4,2026-04-21,강원,철원군,Sherman trap,6,Apodemus agrarius,89,1,45,2,0,털진드기 44 개체 송부,미포획,0.0,0.0,0.0,0.0,0.0,0.0,N,,2026-04-24,최연희(chldusgmlek)
